"image","xmin","ymin","xmax","ymax","label"
"autosave01_02_2012_09_18_20.jpg",770.0,359.0,787.0,378.0,"1_20_3"
"autosave01_02_2012_09_18_20.jpg",769.0,379.0,790.0,399.0,"1_25"
"autosave01_02_2012_09_18_21.jpg",882.0,312.0,910.0,340.0,"1_20_3"
"autosave01_02_2012_09_18_21.jpg",880.0,342.0,914.0,375.0,"1_25"
"autosave01_02_2012_09_19_56.jpg",1025.0,349.0,1055.0,373.0,"1_33"
"autosave01_02_2012_09_20_37.jpg",773.0,378.0,791.0,398.0,"1_15"
"autosave01_02_2012_09_20_38.jpg",877.0,350.0,907.0,379.0,"1_15"
"autosave01_02_2012_09_20_39.jpg",1211.0,254.0,1279.0,319.0,"1_15"
"autosave01_02_2012_09_26_06.jpg",601.0,387.0,618.0,403.0,"1_19"
"autosave01_02_2012_09_26_07.jpg",645.0,377.0,663.0,394.0,"1_19"
"autosave01_02_2012_09_26_08.jpg",664.0,367.0,683.0,387.0,"1_19"
"autosave01_02_2012_09_26_09.jpg",683.0,355.0,705.0,378.0,"1_19"
"autosave01_02_2012_09_26_10.jpg",700.0,343.0,725.0,368.0,"1_19"
"autosave01_02_2012_09_26_11.jpg",713.0,332.0,744.0,362.0,"1_19"
"autosave01_02_2012_09_26_12.jpg",724.0,331.0,757.0,363.0,"1_19"
"autosave01_02_2012_09_26_13.jpg",733.0,328.0,766.0,360.0,"1_19"
"autosave01_02_2012_09_26_14.jpg",737.0,328.0,770.0,358.0,"1_19"
"autosave01_02_2012_09_26_15.jpg",739.0,326.0,777.0,361.0,"1_19"
"autosave01_02_2012_09_26_16.jpg",745.0,321.0,782.0,358.0,"1_19"
"autosave01_02_2012_09_26_17.jpg",745.0,321.0,782.0,358.0,"1_19"
"autosave01_02_2012_09_26_18.jpg",747.0,318.0,786.0,359.0,"1_19"
"autosave01_02_2012_09_26_19.jpg",752.0,317.0,789.0,353.0,"1_19"
"autosave01_02_2012_09_26_20.jpg",756.0,316.0,793.0,352.0,"1_19"
"autosave01_02_2012_09_26_21.jpg",756.0,316.0,793.0,352.0,"1_19"
"autosave01_02_2012_09_26_22.jpg",756.0,316.0,793.0,352.0,"1_19"
"autosave01_02_2012_09_26_24.jpg",758.0,316.0,795.0,352.0,"1_19"
"autosave01_02_2012_09_26_25.jpg",761.0,316.0,798.0,352.0,"1_19"
"autosave01_02_2012_09_26_26.jpg",764.0,316.0,801.0,352.0,"1_19"
"autosave01_02_2012_09_26_27.jpg",764.0,316.0,804.0,353.0,"1_19"
"autosave01_02_2012_09_26_28.jpg",764.0,316.0,804.0,353.0,"1_19"
"autosave01_02_2012_09_26_29.jpg",764.0,303.0,806.0,345.0,"1_19"
"autosave01_02_2012_09_26_30.jpg",769.0,306.0,813.0,348.0,"1_19"
"autosave01_02_2012_09_26_31.jpg",793.0,276.0,842.0,327.0,"1_19"
"autosave01_02_2012_09_26_32.jpg",841.0,241.0,899.0,301.0,"1_19"
"autosave01_02_2012_09_26_33.jpg",904.0,198.0,979.0,271.0,"1_19"
"autosave01_02_2012_09_26_34.jpg",982.0,143.0,1080.0,235.0,"1_19"
"autosave01_02_2012_09_26_35.jpg",1127.0,62.0,1231.0,177.0,"1_19"
"autosave01_02_2012_09_29_12.jpg",704.0,365.0,732.0,390.0,"1_15"
"autosave01_02_2012_09_29_13.jpg",778.0,318.0,826.0,363.0,"1_15"
"autosave01_02_2012_09_29_19.jpg",878.0,317.0,913.0,351.0,"1_16"
"autosave01_02_2012_09_29_20.jpg",953.0,287.0,998.0,328.0,"1_16"
"autosave01_02_2012_09_30_33.jpg",821.0,368.0,843.0,388.0,"1_19"
"autosave01_02_2012_09_30_34.jpg",992.0,324.0,1031.0,361.0,"1_19"
"autosave01_02_2012_09_40_36.jpg",833.0,373.0,856.0,396.0,"1_16"
"autosave01_02_2012_09_40_37.jpg",1066.0,309.0,1119.0,360.0,"1_16"
"autosave01_02_2012_09_44_43.jpg",1154.0,371.0,1182.0,396.0,"1_16"
"autosave01_02_2012_09_45_33.jpg",801.0,383.0,822.0,406.0,"1_15"
"autosave01_02_2012_09_45_34.jpg",972.0,340.0,1007.0,377.0,"1_15"
"autosave01_02_2012_09_45_51.jpg",1006.0,322.0,1045.0,362.0,"1_19"
"autosave01_02_2012_09_48_09.jpg",854.0,368.0,880.0,396.0,"1_15"
"autosave01_02_2012_09_50_10.jpg",877.0,346.0,912.0,379.0,"1_8"
"autosave01_02_2012_09_50_11.jpg",873.0,348.0,908.0,381.0,"1_8"
"autosave01_02_2012_09_53_26.jpg",851.0,347.0,880.0,377.0,"1_8"
"autosave01_02_2012_09_56_21.jpg",682.0,359.0,707.0,383.0,"1_8"
"autosave01_02_2012_09_56_22.jpg",703.0,349.0,729.0,375.0,"1_8"
"autosave01_02_2012_09_56_23.jpg",719.0,325.0,754.0,359.0,"1_8"
"autosave01_02_2012_09_56_24.jpg",748.0,301.0,792.0,341.0,"1_8"
"autosave01_02_2012_09_56_25.jpg",808.0,249.0,870.0,306.0,"1_8"
"autosave01_02_2012_10_15_25.jpg",982.0,218.0,1082.0,304.0,"1_8"
"autosave01_02_2012_10_15_26.jpg",776.0,330.0,826.0,372.0,"1_8"
"autosave01_02_2012_10_15_27.jpg",930.0,249.0,1012.0,325.0,"1_8"
"autosave01_02_2012_10_38_38.jpg",301.0,436.0,327.0,462.0,"1_16"
"autosave01_02_2012_10_38_39.jpg",192.0,437.0,227.0,474.0,"1_16"
"autosave01_02_2012_10_38_40.jpg",60.0,446.0,111.0,495.0,"1_16"
"autosave01_02_2012_10_42_51.jpg",822.0,381.0,893.0,436.0,"1_15"
"autosave01_02_2012_10_49_33.jpg",818.0,285.0,874.0,333.0,"1_8"
"autosave01_02_2012_10_49_47.jpg",709.0,383.0,728.0,401.0,"1_15"
"autosave01_02_2012_10_49_48.jpg",719.0,391.0,745.0,414.0,"1_15"
"autosave01_02_2012_10_49_49.jpg",768.0,360.0,800.0,393.0,"1_15"
"autosave01_02_2012_10_49_50.jpg",899.0,316.0,958.0,372.0,"1_15"
"autosave01_02_2012_10_56_54.jpg",655.0,365.0,675.0,386.0,"1_16"
"autosave01_02_2012_10_56_55.jpg",666.0,342.0,690.0,368.0,"1_16"
"autosave01_02_2012_10_56_57.jpg",748.0,322.0,805.0,380.0,"1_16"
"autosave01_02_2012_10_56_58.jpg",1066.0,65.0,1259.0,232.0,"1_16"
"autosave01_02_2012_10_57_27.jpg",1113.0,240.0,1189.0,310.0,"1_16"
"autosave01_02_2012_11_09_22.jpg",709.0,392.0,729.0,411.0,"1_15"
"autosave01_02_2012_11_09_23.jpg",777.0,372.0,809.0,402.0,"1_15"
"autosave01_02_2012_11_09_24.jpg",1006.0,300.0,1063.0,365.0,"1_15"
"autosave01_02_2012_11_10_17.jpg",999.0,241.0,1065.0,304.0,"1_8"
"autosave01_02_2012_11_14_01.jpg",688.0,348.0,707.0,365.0,"3_20"
"autosave01_02_2012_11_14_02.jpg",560.0,350.0,582.0,372.0,"3_20"
"autosave01_02_2012_11_14_03.jpg",229.0,355.0,256.0,382.0,"3_20"
"autosave01_02_2012_11_14_28.jpg",286.0,382.0,311.0,406.0,"1_16"
"autosave01_02_2012_11_14_29.jpg",102.0,372.0,135.0,403.0,"1_16"
"autosave01_02_2012_11_24_54.jpg",439.0,375.0,464.0,400.0,"1_16"
"autosave01_02_2012_11_24_56.jpg",286.0,338.0,330.0,377.0,"1_16"
"autosave01_02_2012_11_30_56.jpg",736.0,342.0,762.0,367.0,"3_20"
"autosave01_02_2012_11_30_57.jpg",833.0,273.0,876.0,315.0,"3_20"
"autosave01_02_2012_11_32_07.jpg",761.0,367.0,784.0,389.0,"1_15"
"autosave01_02_2012_11_32_08.jpg",985.0,304.0,1045.0,355.0,"1_15"
"autosave01_02_2012_11_32_18.jpg",719.0,375.0,737.0,394.0,"3_20"
"autosave01_02_2012_11_32_19.jpg",841.0,315.0,875.0,351.0,"3_20"
"autosave01_02_2012_11_32_35.jpg",807.0,345.0,834.0,373.0,"3_20"
"autosave01_02_2012_11_33_01.jpg",732.0,369.0,750.0,387.0,"3_20"
"autosave01_02_2012_11_33_02.jpg",835.0,330.0,868.0,363.0,"3_20"
"autosave01_02_2012_11_33_30.jpg",815.0,272.0,851.0,310.0,"3_20"
"autosave01_02_2012_11_39_10.jpg",712.0,323.0,740.0,351.0,"1_16"
"autosave01_02_2012_11_39_12.jpg",988.0,87.0,1084.0,172.0,"1_16"
"autosave01_02_2012_11_41_26.jpg",729.0,305.0,765.0,337.0,"1_16"
"autosave01_02_2012_11_41_27.jpg",818.0,210.0,881.0,264.0,"1_16"
"autosave01_02_2012_11_45_44.jpg",679.0,356.0,697.0,375.0,"1_16"
"autosave01_02_2012_11_45_45.jpg",715.0,323.0,738.0,347.0,"1_16"
"autosave01_02_2012_11_45_47.jpg",892.0,184.0,949.0,243.0,"1_16"
"autosave01_02_2012_11_50_50.jpg",695.0,380.0,720.0,401.0,"1_8"
"autosave01_02_2012_11_50_51.jpg",742.0,353.0,779.0,386.0,"1_8"
"autosave01_02_2012_11_50_52.jpg",854.0,292.0,921.0,347.0,"1_8"
"autosave01_02_2012_11_54_31.jpg",736.0,349.0,758.0,373.0,"1_8"
"autosave01_02_2012_11_54_32.jpg",902.0,272.0,948.0,315.0,"1_8"
"autosave01_02_2012_11_55_49.jpg",775.0,398.0,798.0,421.0,"1_15"
"autosave01_02_2012_11_55_50.jpg",862.0,388.0,890.0,410.0,"1_15"
"autosave01_02_2012_11_55_51.jpg",866.0,360.0,894.0,384.0,"1_15"
"autosave01_02_2012_11_55_52.jpg",891.0,359.0,928.0,392.0,"1_15"
"autosave01_02_2012_11_55_53.jpg",943.0,327.0,999.0,368.0,"1_15"
"autosave01_02_2012_11_56_09.jpg",712.0,346.0,735.0,370.0,"3_20"
"autosave01_02_2012_11_56_10.jpg",776.0,300.0,814.0,336.0,"3_20"
"autosave01_02_2012_11_56_30.jpg",753.0,367.0,775.0,391.0,"3_20"
"autosave01_02_2012_11_56_31.jpg",870.0,313.0,910.0,354.0,"3_20"
"autosave01_02_2012_11_57_00.jpg",699.0,321.0,729.0,350.0,"3_20"
"autosave01_02_2012_11_57_01.jpg",860.0,172.0,929.0,236.0,"3_20"
"autosave01_02_2012_11_58_02.jpg",709.0,317.0,738.0,346.0,"3_20"
"autosave01_02_2012_11_58_29.jpg",656.0,376.0,677.0,397.0,"3_20"
"autosave01_02_2012_11_58_30.jpg",731.0,313.0,768.0,348.0,"3_20"
"autosave01_02_2012_11_59_03.jpg",713.0,380.0,729.0,397.0,"3_20"
"autosave01_02_2012_11_59_04.jpg",825.0,344.0,856.0,375.0,"3_20"
"autosave01_02_2012_12_00_29.jpg",738.0,371.0,756.0,390.0,"3_20"
"autosave01_02_2012_12_00_30.jpg",863.0,311.0,900.0,348.0,"3_20"
"autosave01_02_2012_12_01_42.jpg",720.0,384.0,739.0,402.0,"3_20"
"autosave01_02_2012_12_01_43.jpg",782.0,358.0,809.0,385.0,"3_20"
"autosave01_02_2012_12_03_49.jpg",893.0,261.0,967.0,334.0,"3_20"
"autosave01_02_2012_12_03_50.jpg",855.0,286.0,920.0,350.0,"3_20"
"autosave01_02_2012_12_03_51.jpg",835.0,300.0,894.0,359.0,"3_20"
"autosave01_02_2012_12_03_52.jpg",818.0,308.0,872.0,364.0,"3_20"
"autosave01_02_2012_12_17_23.jpg",421.0,339.0,443.0,361.0,"1_16"
